01/00053,You think?,,,,,,,
01/00054,A little trim.,,,,,,,
01/00055,What are you going to wear?,,,,,,,
01/00056,You mean for the meeting?  For the announcement.,,,,,,,
01/00057,Ill wear my navy blue  the one with the pinstripes.,,,,,,,
01/00058,Good. You look handsome in that suit.,,,,,,,
01/00059,I dont know if theyll announce  before your board meeting.,,,,,,,
01/00060,As long as I can say the donation is coming.,,,,,,,
01/00061,Soon as its official  SanCorp will write you a check.,Inner brow raiser,Lip puckerer,work,neutral,weak,neutral,1
01/00062,This is going to be a big year for us.,Brow lower,Lip stretcher &Lips Part,daily,neutral,weak,neutral,1
01/00063,I wanna start with something here.  Thats why Im here.,,,,,,,
01/00064,Really? What?,,,,,,,
01/00065,Id say immigration banking or education.,,,,,,,
01/00066,But none of my regular sources  can confirm that.,,,,,,,
01/00067,Because they dont know  or because theyre not talking?,Outer brow raiser,Upper lip raiser &Lips Part,work,neutral,weak,neutral,2
01/00068,Because they dont know.,Upper lid raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,1
01/00069,Keep at it. Get me something.,Outer brow raiser,Chin Raiser,work,neutral,weak,neutral,2
01/00070,Sorry. Sorry Mr. Hammerschmidt. Zoe.,,,,,,,
01/00071,Barnes.  Right.,,,,,,,
01/00072,Did it take him a year  to remember your name?,,,,,,,
01/00073,Longer.,Inner brow raiser,Nan,work,neutral,weak,sad,1
01/00074,Good morning Lucas.,Nan,Lip stretcher &Lips Part,work,neutral,weak,happy,1
01/00075,What can I do for you Zoe?,,,,,,,
01/00076,I am sick of the Fairfax County Council.,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,angry,2
01/00077,You tell me every day.,Inner brow raiser,Upper lip raiser &Lips Part,work,neutral,weak,neutral,1
01/00078,Move me online.,Inner brow raiser,Upper lip raiser &Lips Part,work,neutral,weak,sad,1
01/00079,My own blog.,,,,,,,
01/00080,First person. Subjective.  words.,,,,,,,
01/00081,ot gonna happen.  Ill go underground.,Inner brow raiser,Lip puckerer,work,neutral,powerful,neutral,2
01/00082,Back rooms the urinals.,Lid tightener,Upper lip raiser &Lips Part,work,negative,weak,angry,1
01/00083,Ill win over staff members on the Hill.,,,,,,,
01/00084,They need a place to vent.  A gossip column.,,,,,,,
01/00085,o. We lift the veil.,,,,,,,
01/00086,Whats really going on.,Lid tightener,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00087,This is The Washington Herald Zoe  its not TMZ.,Inner brow raiser,Lip puckerer,daily,neutral,weak,neutral,1
01/00088,Do you know how many people watch TMZ?  I couldnt care less.,Outer brow raiser,Upper lip raiser &Lips Part,work,neutral,weak,angry,1
01/00089,Which is why print journalism is dying.,Upper lid raiser,Upper lip raiser &Lips Part,work,neutral,weak,happy,1
01/00090,Then itll die with dignity.  At least at this paper.,Inner brow raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,1
01/00091,Youre stuck in the th century Lucas.  You lack imagination.,Outer brow raiser,Upper lip raiser &Lips Part,work,negative,weak,surprise,1
01/00092,Maybe so but right now  I dont need imagination I need copy.,Inner brow raiser,Lower lip depressor &Lips Part,work,neutral,powerful,neutral,1
01/00093,Your nights and weekends are yours.,,,,,,,
01/00094,I applaud whatever you want to do,,,,,,,
01/00095,as long as its not on my time.,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,1
01/00096,Youre telling me to get back to work.  I am.,Outer brow raiser,Lip stretcher &Lips Part,work,negative,weak,angry,2
01/00097,What youre really telling me is to fuck off.,,,,,,,
01/00098,Im telling you both.,,,,,,,
01/00099,Its Mr. Chapman already  from Province Trust.,,,,,,,
01/00100,Hold my calls Christina.,,,,,,,
01/00101,Henry.,,,,,,,
01/00102,Its good to see you.,,,,,,,
01/00103,How long are you in town for?  Just today.,,,,,,,
01/00104,You gotta come back down  for the inauguration.,,,,,,,
01/00105,I can hook you up.,,,,,,,
01/00106,How about you hook me up  with the zoning laws,,,,,,,
01/00107,you promised to get changed?,Inner brow raiser,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00108,Weve got  million sitting in escrow  for an empty lot we cant build on.,Outer brow raiser,Lower lip depressor &Lips Part,work,positive,powerful,happy,2
01/00109,I know. But you gotta understand  its a local municipal issue.,,,,,,,
01/00110,I cant just pick up the phone...  You cant?,Outer brow raiser,Lower lip depressor &Lips Part,work,neutral,powerful,neutral,2
01/00111,Because thats not what you led us to believe  when you begged for  grand in donations.,Outer brow raiser,Lower lip depressor &Lips Part,work,negative,powerful,angry,1
01/00112,Right.,Outer brow raiser,Lip stretcher &Lips Part,work,negative,weak,sad,2
01/00113,One sec.,,,,,,,
01/00114,Christina I said no calls.  Not while Im meeting with Mr. Chapman.,,,,,,,
01/00115,The Presidentelect?,,,,,,,
01/00116,Do you mind?,Outer brow raiser,Lower lip depressor &Lips Part,work,neutral,weak,happy,1
01/00117,o go ahead please.,Upper lid raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,2
01/00118,Put him through Christina.,,,,,,,
01/00119,Mr. Presidentelect.,,,,,,,
01/00120,Thank you. Yes we were...  We were pleased to win by double digits.,,,,,,,
01/00121,Absolutely anything you need.,,,,,,,
01/00122,I need you to put your long wet  talented tongue between my thighs,,,,,,,
01/00123,and make me squeal like Monica...,,,,,,,
01/00124,Me too me too.,,,,,,,
01/00125,Okay. Thank you sir.,,,,,,,
01/00126,Im so sorry. Where were we?,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,2
01/00127,Walker whats he like?,Brow lower,Lip stretcher &Lips Part,work,neutral,weak,neutral,1
01/00128,Is the Presidentelect running late?,,,,,,,
01/00129,o. He couldnt make it. Ill brief him though.,Upper lid raiser,Nan,work,neutral,weak,neutral,1
01/00130,Okay.,Nan,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00131,This is the memo I drafted,,,,,,,
01/00132,on our Middle East policy  weve been developing.,,,,,,,
01/00133,ow I wanna borrow from Reagan,,,,,,,
01/00134,Id like to coin the phrase  trickledown diplomacy.,Brow lower,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00135,That way...  Frank Im going to stop you there.,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,2
01/00136,Were not nominating you  for Secretary of State.,,,,,,,
01/00137,I know he made you a promise  but circumstances have changed.,,,,,,,
01/00138,The nature of promises Linda,,,,,,,
01/00139,is that they remain immune  to changing circumstances.,Brow lower,Nan,work,negative,weak,angry,1
01/00140,Garrett has thought long  and hard about this,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,1
01/00141,and hes decided we need you  to stay in Congress.,Upper lid raiser,Lip stretcher &Lips Part,work,neutral,weak,sad,2
01/00142,When was this decision made?,Brow lower,Upper lip raiser &Lips Part,work,negative,weak,surprise,1
01/00143,And why wasnt I part of a conversation?,Lid tightener,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00144,Im sorry Frank. If it had been up to me,Inner brow raiser,Nan,work,neutral,weak,neutral,1
01/00145,I wouldnt have waited this long to tell you.,Inner brow raiser,Nan,work,neutral,weak,neutral,1
01/00146,So you knew you were going to do this.,Brow lower,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00147,It has been an evolving discussion.,Outer brow raiser,Upper lip raiser &Lips Part,work,neutral,weak,neutral,1
01/00148,Its a chickenshit move.,Brow lower,Lower lip depressor &Lips Part,work,neutral,weak,angry,1
01/00149,Frank...  I was vetted.,Outer brow raiser,Upper lip raiser &Lips Part,work,negative,weak,neutral,1
01/00150,Was that a ruse?  No.,Inner brow raiser,Lower lip depressor &Lips Part,work,neutral,powerful,angry,1
01/00151,Lets be absolutely clear.,,,,,,,
01/00152,You wouldnt have won without me.,Brow lower,Lip stretcher &Lips Part,work,negative,weak,angry,1
01/00153,Youre right. But now we have to lead  and that means making tough choices.,Inner brow raiser,Lower lip depressor &Lips Part,work,negative,weak,sad,3
01/00154,As you know  education is a top priority for us.,,,,,,,
01/00155,A complete federal overhaul.,,,,,,,
01/00156,But its not just education Frank.  Congress is split.,,,,,,,
01/00157,We need you there more than we need you  in the State Department.,,,,,,,
01/00158,I got you hired Linda.,Brow lower,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00159,I know.  Donations endorsements.,Outer brow raiser,Lip stretcher &Lips Part,work,negative,weak,sad,2
01/00160,I wrote the campaigns  entire foreign policy platform.,,,,,,,
01/00161,I bring years of foreign affairs committee...,Brow lower,Lower lip depressor &Lips Part,work,negative,powerful,angry,1
01/00162,Frank please.,Inner brow raiser,Lip stretcher &Lips Part,work,negative,powerful,surprise,2
01/00163,I wanna speak to Walker personally.,Brow lower,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00164,The decision is made.,Outer brow raiser,Lip stretcher &Lips Part,work,negative,weak,sad,2
01/00165,We need you Frank.,,,,,,,
01/00166,Will you stand beside us or not?,Outer brow raiser,Lower lip depressor &Lips Part,work,negative,weak,angry,2
01/00167,Of course. If thats what the President wants.,Lid tightener,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00168,Im very glad to hear that.,Upper lid raiser,Lip stretcher &Lips Part,work,neutral,weak,happy,1
01/00169,Im curious. If not me then who?,Brow lower,Lip stretcher &Lips Part,work,negative,weak,sad,2
01/00170,Michael Kern.,Outer brow raiser,Nan,work,neutral,weak,neutral,1
01/00171,Michael Kern.,Brow lower,Nan,work,negative,weak,sad,2
01/00172,Well that is an excellent choice.,,,,,,,
01/00173,,,,,,,,
01/00174,Can we make it more clear?,,,,,,,
01/00175,I just want to make sure it doesnt look like  were neglecting our domestic...,,,,,,,
01/00176,o. No no no. Im gonna say  that were expanding our mission.,,,,,,,
01/00177,Okay.,,,,,,,
01/00178,And were bringing on a new organization  to help us.,,,,,,,
01/00179,Do you know which one yet?  Im still looking into a few options but...,,,,,,,
01/00180,Tell me what did we agree on  that we could hire how many new people?,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,powerful,neutral,1
01/00181,Six?  Six maybe seven.,Cheek raiser,Upper lip raiser &Lips Part,work,positive,weak,happy,1
01/00182,Well have enough.,,,,,,,
01/00183,Its exciting.,,,,,,,
01/00184,This new direction were heading.,,,,,,,
01/00185,I just dont know where were going to fit  all the people.,Nan,Upper lip raiser &Lips Part,work,positive,weak,happy,1
01/00186,Do you think we have to look  into additional space?,Outer brow raiser,Nan,work,neutral,weak,neutral,1
01/00187,o no no no. Ill find a way.,Lid tightener,Lip puckerer,work,negative,powerful,sad,2
01/00188,Okay so make the changes  to the PowerPoint  ,Outer brow raiser,Upper lip raiser &Lips Part,work,negative,weak,neutral,1
01/00189,and lets meet again at .,,,,,,,
01/00190,Okay.,,,,,,,
01/00191,Its me.,,,,,,,
01/00192,I feel like an idiot leaving messages like this.,,,,,,,
01/00193,Call me back.,,,,,,,
01/00194,,,,,,,,
01/00195,What is it Zoe?,,,,,,,
01/00196,I know youre going to have your hands full  at the White House,,,,,,,
01/00197,so if you need someone to do research  or punch out background...,,,,,,,
01/00198,I think Ill be fine.,,,,,,,
01/00199,Well if things get hectic  and you need any help.,Outer brow raiser,Lip stretcher &Lips Part,work,negative,weak,neutral,1
01/00200,So you can blog about rubbing shoulders  with the big boys?,Outer brow raiser,Lower lip depressor &Lips Part,work,negative,weak,disgust,2
01/00201,What did Lucas tell you?,Lid tightener,Upper lip raiser &Lips Part,work,neutral,weak,surprise,2
01/00202,Look no offense Zoe but I dont have time  to be anyones training wheels.,Upper lid raiser,Lower lip depressor &Lips Part,work,negative,weak,disgust,2
01/00203,I just thought...,Brow lower,Upper lip raiser &Lips Part,work,negative,weak,neutral,2
01/00204,o I was actually offering to lend a hand.,Nan,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00205,Thats it.  Got it. Thanks.,Outer brow raiser,Lip stretcher &Lips Part,work,negative,weak,disgust,2
01/00206,,,,,,,,
01/00207,Claire...  You didnt call.,,,,,,,
01/00208,I was...  You didnt call me Francis.,,,,,,,
01/00209,ine hours. You dont not call me.,,,,,,,
01/00210,ot when its this big.,Outer brow raiser,Lower lip depressor &Lips Part,daily,negative,weak,angry,2
01/00211,Youre right.,Inner brow raiser,Nan,daily,negative,weak,sad,1
01/00212,When have we ever avoided each other?,Nan,Lip stretcher &Lips Part,daily,negative,weak,angry,2
01/00213,I wanted a solution first.,Nan,Lip stretcher &Lips Part,daily,negative,powerful,sad,1
01/00214,Do you have one?  Not yet.,Nan,Lip stretcher &Lips Part,daily,neutral,weak,neutral,1
01/00215,This affects me too Francis.,,,,,,,
01/00216,And its not the money Im upset about.,,,,,,,
01/00217,Its that we do things together.,,,,,,,
01/00218,When you dont involve me were in free fall.,Upper lid raiser,Upper lip raiser &Lips Part,daily,negative,powerful,angry,1
01/00219,I should have called you and I didnt.,Inner brow raiser,Lower lip depressor &Lips Part,daily,negative,powerful,sad,1
01/00220,What happened?,Nan,Upper lip raiser &Lips Part,daily,negative,powerful,angry,2
01/00221,She says they need to keep me in Congress.,Brow lower,Lower lip depressor &Lips Part,daily,negative,weak,sad,1
01/00222,Linda said that?,Nan,Lower lip depressor &Lips Part,daily,negative,weak,angry,1
01/00223,Walker wasnt even there.,Brow lower,Lower lip depressor &Lips Part,daily,negative,weak,sad,1
01/00224,Thats what really gets me. He didnt have  the courage to look me in the eye...,Upper lid raiser,Lower lip depressor &Lips Part,daily,negative,weak,angry,1
01/00225,I knew you shouldnt trust that woman.,Nan,Upper lip raiser &Lips Part,daily,negative,weak,surprise,2
01/00226,I didnt. I dont. I dont trust anyone.,,,,,,,
01/00227,Then how could you not see this coming?,Outer brow raiser,Lower lip depressor &Lips Part,daily,negative,weak,angry,1
01/00228,I never thought they were capable.,Inner brow raiser,Lower lip depressor &Lips Part,daily,negative,weak,sad,1
01/00229,You dont usually  underestimate people Francis.,Nan,Lip stretcher &Lips Part,daily,negative,weak,surprise,2
01/00230,I know.,,,,,,,
01/00231,Hubris. Ambition.,,,,,,,
01/00232,You should be angry.  Im livid.,,,,,,,
01/00233,Then where is that? I dont see it.,,,,,,,
01/00234,What do you want me to do?,,,,,,,
01/00235,Scream and yell? Throw a tantrum?,Brow lower,Lower lip depressor &Lips Part,daily,negative,weak,angry,1
01/00236,I want more than Im seeing.  Youre better than this Francis.,Inner brow raiser,Lower lip depressor &Lips Part,daily,negative,weak,angry,1
01/00237,Well Im sorry Claire.,,,,,,,
01/00238,I am sorry.,Brow lower,Lower lip depressor &Lips Part,daily,negative,weak,angry,2
01/00239,o. That I wont accept.,Outer brow raiser,Upper lip raiser &Lips Part,daily,negative,weak,angry,2
01/00240,What?  Apologies.,,,,,,,
01/00241,My husband doesnt apologize even to me.,,,,,,,
01/00242,How long have you been up?,,,,,,,
01/00243,Hours.,,,,,,,
01/00244,I know what I have to do.,,,,,,,
01/00245,Good.,,,,,,,
01/00246,Well have a lot of nights like this,,,,,,,
01/00247,making plans very little sleep.,,,,,,,
01/00248,I expected that. That doesnt worry me.,,,,,,,
01/00249,I better get to work.,,,,,,,
01/00250,I laid a suit out for you upstairs.,,,,,,,
01/00251,The navy blue one.,,,,,,,
01/00252,I love that woman.  I love her more than sharks love blood.,,,,,,,
01/00253,,,,,,,,
01/00254,Why do you think they went with him?,,,,,,,
01/00255,Were too good.  They cant afford to lose us in Congress.,,,,,,,
01/00256,Hes had work done. A chin tuck probably.  He definitely dyes his hair.,,,,,,,
01/00257,Do we say anything?,Inner brow raiser,Lower lip depressor &Lips Part,daily,negative,weak,disgust,2
01/00258,o. God no. Not unless he brings it up.,Inner brow raiser,Upper lip raiser &Lips Part,work,negative,weak,neutral,2
01/00259,ancy?,,,,,,,
01/00260,...  Cancel everything.,,,,,,,
01/00261,Stamper youre with me.,,,,,,,
01/00262,ow look...,,,,,,,
01/00263,Theyve done us a great favor Doug.,,,,,,,
01/00264,We are no longer bound by allegiances.,,,,,,,
01/00265,We serve no one.,,,,,,,
01/00266,We live by one rule and one rule only,,,,,,,
01/00267,ever again will we allow ourselves  to be put in such a position.,,,,,,,
01/00268,Walker and Vasquez.,,,,,,,
01/00269,All of them. I hold them all accountable.,,,,,,,
01/00270,Retribution?  No.,Brow lower,Upper lip raiser &Lips Part,work,neutral,weak,neutral,2
01/00271,o. Its more than that.,Brow lower,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00272,Take a step back.,,,,,,,
01/00273,Look at the bigger picture.,Brow lower,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00274,I think I see what youre getting at.  Kern first?,Brow lower,Upper lip raiser &Lips Part,work,neutral,weak,neutral,1
01/00275,Thats how you devour a whale Doug.  One bite at a time.,Brow lower,Lower lip depressor &Lips Part,work,negative,weak,angry,1
01/00276,Who would you want?  For Secretary of State?,,,,,,,
01/00277,Give me a list of choices.  And however we do this,,,,,,,
01/00278,well also need a buffer.,,,,,,,
01/00279,You mean an errand boy?  Yes.,,,,,,,
01/00280,Somebody we control completely.,,,,,,,
01/00281,Ill keep my ear to the ground.  Good.,Nan,Lip puckerer,work,neutral,weak,neutral,1
01/00282,I havent eaten since yesterday.,Lid tightener,Lower lip depressor &Lips Part,work,neutral,weak,neutral,2
01/00283,I almost pity him.,,,,,,,
01/00284,He didnt choose to be put on my platter.,,,,,,,
01/00285,When I carve him up  and toss him to the dogs,,,,,,,
01/00286,only then will he confront  that brutal inescapable truth.,,,,,,,
01/00287,My God  all I ever amounted to was chitlins.,,,,,,,
01/00288,And he that shall humble himself  shall be exalted.,,,,,,,
01/00289,Matthew  .,,,,,,,
01/00290,Thanks be to God.,,,,,,,
01/00291,Thanks be to God.,,,,,,,
01/00292,Id like to speak today  on the subject of humility.,,,,,,,
01/00293,A lot ofyou have just won reelection.,,,,,,,
01/00294,Ifyou hadnt you might not be sitting here.,,,,,,,
01/00295,And of course we should enjoy our success  and be grateful for it.,,,,,,,
01/00296,But never let your gratitude sour into pride.,,,,,,,
01/00297,Youll have many challenges ahead  over the next couple of years.,,,,,,,
01/00298,And a persons character isnt determined  by how he or she enjoys victory,,,,,,,
01/00299,but rather how he or she endures defeat.,,,,,,,
01/00300,othing can help us endure dark times  better than our faith.,,,,,,,
01/00301,Claire.  Hello Felicity.,,,,,,,
01/00302,How are you?  Good. How are you?,,,,,,,
01/00303,Good. Im sorry about that.  Its just not right.,,,,,,,
01/00304,Charles and I cant understand  what Walker was thinking.,,,,,,,
01/00305,Thats very sweet of you  but really between you and me,,,,,,,
01/00306,I think Francis is relieved.,,,,,,,
01/00307,He just feels much more at home  in Congress.,,,,,,,
01/00308,I wouldve bet a million dollars  they were going to pick you.,,,,,,,
01/00309,Well its a good thing  you have a million dollars to spare.,,,,,,,
01/00310,But you are by far and away the only choice.,,,,,,,
01/00311,I appreciate you saying that.,,,,,,,
01/00312,I mean Michael? Come on.,,,,,,,
01/00313,Hes got half the experience you do...  Garrett is a smart man.,,,,,,,
01/00314,He knows what hes doing.,,,,,,,
01/00315,Youre a bigger man than l Frank.,,,,,,,
01/00316,You want some of that wine?,,,,,,,
01/00317,Yes definitely.,,,,,,,
01/00318,Man this is some good shit.  Where did you get it?,,,,,,,
01/00319,I kind of lifted it from the VlP room  ofthe Speakers holiday party.,,,,,,,
01/00320,Im impressed. Bordeaux  years old.,,,,,,,
01/00321,It seemed about right for you.,,,,,,,
01/00322,Why would you say that to me?,,,,,,,
01/00323,Im almost .  Thats practically ancient in your book.,,,,,,,
01/00324,I dont discriminate when it comes to age.  Really?,,,,,,,
01/00325,Whens the last time you hired  a yearold staffer?,,,,,,,
01/00326,Doesnt mean I wouldnt.,,,,,,,
01/00327,As long as shes good in the sack.,,,,,,,
01/00328,Come on.  Well its true isnt it?,,,,,,,
01/00329,Wheres this coming from?,,,,,,,
01/00330,Youre not gonna just toss me aside  for some slut straight out ofVassar?,,,,,,,
01/00331,So were having that conversation.,,,,,,,
01/00332,Its been six months.  Its not a little office fling anymore.,,,,,,,
01/00333,You want me to say those three magic words.,,,,,,,
01/00334,One of which starts with an L.,,,,,,,
01/00335,Okay Ill say em.,,,,,,,
01/00336,Christina Gallagher,,,,,,,
01/00337,Iick my balls.,,,,,,,
01/00338,Oh my... Youre a bastard.,,,,,,,
01/00339,I love you.,,,,,,,
01/00340,I love you Christina.,,,,,,,
01/00341,I love you.,,,,,,,
01/00342,ow will you lick my balls?,,,,,,,
01/00343,So Im curious.  Are we patrons benefactors or lepers?,,,,,,,
01/00344,Believe it or not were angels.,,,,,,,
01/00345,Im gonna go outside  and pretend to use my cell phone.,,,,,,,
01/00346,Go.,,,,,,,
01/00347,,,,,,,,
01/00348,Can I have your jacket?  Yeah.,,,,,,,
01/00349,Okay.,,,,,,,
01/00350,Are you coming to bed?,,,,,,,
01/00351,Ill be up in a bit.,,,,,,,
01/00352,Dont stay up all night.  No Ill be right there.,,,,,,,
01/00353,Thanks so much. Ill call you.,,,,,,,
01/00354,Wait. I thought you had a good time.,,,,,,,
01/00355,I did. I loved it. Ive never been before.,,,,,,,
01/00356,Well maybe I could come up.,,,,,,,
01/00357,Brian youre so sweet. Really.,,,,,,,
01/00358,But if I was going to fuck you youd know.,,,,,,,
01/00359,Thanks so much.,,,,,,,
01/00360,,,,,,,,
01/00361,,,,,,,,
01/00362,,,,,,,,
01/00363,,,,,,,,
01/00364,Shes here.  Send her in.,Nan,Lip puckerer,work,neutral,weak,neutral,1
01/00365,Its quite rare for a presidents chief of staff  to climb the Hill.,Outer brow raiser,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00366,A gesture of respect no doubt  or desperation.,,,,,,,
01/00367,Im guessing shell say  Donald Blythe for Education.,,,,,,,
01/00368,Lets see if Im right.,,,,,,,
01/00369,Good morning Linda.,,,,,,,
01/00370,Thank you so much for making the trip up.,,,,,,,
01/00371,Of course. My pleasure.,,,,,,,
01/00372,Education?,,,,,,,
01/00373,First things first.,,,,,,,
01/00374,The seating chart for the inauguration.,,,,,,,
01/00375,How do these two work for you and Claire?,Upper lid raiser,Lip stretcher &Lips Part,work,positive,weak,happy,1
01/00376,Wow.,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,surprise,1
01/00377,They come with a complimentary set  of tickets to the Jefferson Ball.,,,,,,,
01/00378,Claire will be over the moon.,,,,,,,
01/00379,Good Im so glad.,,,,,,,
01/00380,So education.,,,,,,,
01/00381,We have Donald Blythe  drafting the legislation.,Inner brow raiser,Lower lip depressor &Lips Part,work,neutral,powerful,neutral,1
01/00382,Donald Blythe? Jesus.  I know.,Nan,Lower lip depressor &Lips Part,work,neutral,weak,surprise,2
01/00383,So you want a bill  just two steps left of Karl Marx?,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,1
01/00384,I advised the Presidentelect against it  but Donald is the face of education.,Inner brow raiser,Lip stretcher &Lips Part,work,neutral,weak,surprise,1
01/00385,Hes been pushing reform for  years.,,,,,,,
01/00386,You want me to guide him to the middle.,Nan,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00387,We need a bill we can pass.,Inner brow raiser,Lower lip depressor &Lips Part,work,neutral,weak,surprise,1
01/00388,Do I have absolute autonomy  and authority on this?,Cheek raiser,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00389,Theres more.,Inner brow raiser,Lip puckerer,work,neutral,weak,neutral,1
01/00390,Garrett wants the bill on the floor  in the first  days.,,,,,,,
01/00391,He wants to make a pledge  in his inaugural address.,,,,,,,
01/00392,Thats...,,,,,,,
01/00393,Thats very ambitious Linda.,Inner brow raiser,Nan,work,neutral,weak,neutral,1
01/00394,Can we make that pledge?,Outer brow raiser,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00395,A hundred days?,Brow lower,Lower lip depressor &Lips Part,work,negative,weak,neutral,2
01/00396,I can deliver.,,,,,,,
01/00397,Keep me posted.,,,,,,,
01/00398,Ill talk with Donald.  Ill check in with you later in the week.,,,,,,,
01/00399,Terrific.,,,,,,,
01/00400,Did you smell that?,,,,,,,
01/00401,The smugness? The false deference?,,,,,,,
01/00402,She thinks I can be bought  with a pair of tickets. What am l?,,,,,,,
01/00403,A whore in postwar Berlin salivating  over free stockings and chocolate?,,,,,,,
01/00404,What shes asking  will cost far more than that.,,,,,,,
01/00405,Ferguson?  Too old.,,,,,,,
01/00406,Willis?  Too stupid.,,,,,,,
01/00407,Boyd?  Too queer.,,,,,,,
01/00408,Really?,,,,,,,
01/00409,Hes married with three kids.,Nan,Nan,work,neutral,powerful,neutral,1
01/00410,And wouldnt they be devastated.  All right.,Nan,Nan,work,neutral,weak,neutral,1
01/00411,What about Catherine Durant?,Upper lid raiser,Nan,work,neutral,weak,neutral,1
01/00412,Cathy Durant. She was vocally antiWalker.,Brow lower,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00413,Shes got the experience.,Outer brow raiser,Lip stretcher &Lips Part,work,neutral,weak,neutral,1
01/00414,Set up a meeting.,Nan,Lower lip depressor &Lips Part,work,neutral,weak,neutral,1
01/00415,Hey.,,,,,,,
01/00416,The donation from SanCorp?,,,,,,,
